西塱	Xilang
坑口	Kengkou
花地湾	Huadiwan
芳村	Fangcun
黄沙	Huangsha
长寿路	Changshou Lu
陈家祠	Chen Clan Academy
西门口	Ximenkou
公园前	Gongyuanqian
农讲所	Peasant Movement Institute
烈士陵园	Martyrs' Park
东山口	Dongshankou
杨箕	Yangji
体育西路	Tiyu Xilu
体育中心	Tianhe Sports Center
广州东站	Guangzhou East Railway Station
广州南站	Guangzhou South Railway Station
石壁	Shibi
会江	Huijiang
南浦	Nanpu
洛溪	Luoxi
南洲	Nanzhou
东晓南	Dongxiaonan
江泰路	Jiangtai Lu
昌岗	Changgang
江南西	Jiangnanxi
市二宫	The 2nd Workers' Cultural Palace
海珠广场	Haizhu Square
公园前	Gongyuanqian
纪念堂	Sun Yat-sen Memorial Hall
越秀公园	Yuexiu Park
广州火车站	Guangzhou Railway Station
三元里	Sanyuanli
飞翔公园	Feixiang Park
白云公园	Baiyun Park
白云文化广场	Baiyun Culture Square
萧岗	Xiao-gang
江夏	Jiangxia
黄边	Huangbian
嘉禾望岗	Jiahewanggang
番禺广场	Panyu Square
市桥	Shiqiao
汉溪长隆	Hanxi Changlong
大石	Dashi
厦滘	Xiajiao
沥滘	Lijiao
大塘	Datang
客村	Kecun
广州塔	Canton Tower
珠江新城	Zhujiang New Town
体育西路	Tiyu Xilu
石牌桥	Shipaiqiao
岗顶	Gangding
华师	South China Normal University
五山	Wushan
天河客运站	Tianhe Coach Terminal
林和西	Linhexi
广州东站	Guangzhou East Railway Station
燕塘	Yantang
梅花园	Meihuayuan
京溪南方医院	Jingxi Nanfang Hospital
同和	Tonghe
永泰	Yongtai
白云大道北	Baiyundadaobei
嘉禾望岗	Jiahewanggang
龙归	Longgui
人和	Renhe
高增	Gaozeng
机场南（1号航站楼）	Airport South(Terminal 1)
机场北（2号航站楼）	Airport North(Terminal 2)
滘口	Jiaokou
坦尾	Tanwei
中山八	Zhongshanba
西场	Xichang
西村	Xicun
广州火车站	Guangzhou Railway Station
小北	Xiaobei
淘金	Taojin
区庄	Ouzhuang
动物园	Zoo
杨箕	Yangji
五羊邨	Wuyangcun
珠江新城	Zhujiang New Town
猎德	Liede
潭村	Tancun
员村	Yuancun
科韵路	Keyun Lu
车陂南	Chebeinan
东圃	Dongpu
三溪	Sanxi
鱼珠	Yuzhu
大沙地	Dashadi
大沙东	Dashadong
文沖	Wenchong
南沙客运港	Nansha Passenger Port
南横	Nanheng
塘坑	Tangkeng
大涌	Dachong
广隆	Guanglong
飞沙角	Feishajiao
金洲	Jinzhou
蕉门	Jiaomen
黄阁	Huangge
黄阁汽车城	Huangge Auto Town
庆盛	Qingsheng
东涌	Dongchong
低涌	Dichong
海傍	Haibang
石碁	Shiqi
官桥	Guanqiao
新造	Xinzao
大学城南	Higher Education Mega Center South
大学城北	Higher Education Mega Center North
官洲	Guanzhou
万胜围	Wanshengwei
车陂南	Chebeinan
车陂	Chebei
黄村	Huangcun
浔峰岗	Xunfenggang
横沙	Hengsha
沙贝	Shabei
河沙	Hesha
坦尾	Tanwei
如意坊	Ruyifang
黄沙	Huangsha
文化公园	Cultural Park
一德路	Yide Lu
海珠广场	Haizhu Square
北京路	Beijing Lu
团一大广场	Tuanyida Square
东湖	Donghu
东山口	Dongshankou
区庄	Ouzhuang
黄花岗	Huanghuagang
沙河顶	Shaheding
沙河	Shahe
天平架	Tianpingjia
燕塘	Yantang
天河客运站	Tianhe Coach Terminal
长湴	Changban
植物园	Botanical Garden
龙洞	Longdong
柯木塱	Kemulang
高塘石	Gaotangshi
黄陂	Huangbei
金峰	Jinfeng
暹岗	Xiangang
苏元	Suyuan
萝岗	Luogang
香雪	Xiangxue
广州南站	Guangzhou South Railway Station
石壁	Shibi
谢村	Xiecun
钟村	Zhongcun
汉溪长隆	Hanxi Changlong
南村万博	Nancun Wanbo
员岗	Yuangang
板桥	Banqiao
大学城南	Higher Education Mega Center South
凤凰新村	Fenghuang Xincun
沙园	Shayuan
宝岗大道	Baogang Dadao
昌岗	Changgang
晓港	Xiaogang
中大	Sun Yat-sen University
鹭江	Lujiang
客村	Kecun
赤岗	Chigang
磨碟沙	Modiesha
新港东	Xingangdong
琶洲	Pazhou
万胜围	Wanshengwei
飞鹅岭	Fei'eling			
花都汽车城	Huadu Autocity			
广州北站	Guangzhou North Railway Station		
花城路	Huacheng Lu			
花果山公园	Huaguoshan Park			
花都广场	Huadu Square			
马鞍山公园	Ma'anshan Park			
莲塘	Liantang			
清㘵	Qingbu			
清塘	Qingtang			
高增	Gaozeng			
鱼珠	Yuzhu 
裕丰围	Yufengwei
双岗	Shuanggang
南海神庙	Nanhai God Temple
夏园	Xiayuan
南岗	Nangang
沙村	Shacun	
白江	Baijiang
新塘	Xintang
官湖	Guanhu
新沙	Xinsha
嘉禾望岗	Jiahewanggang	
白云东平	Baiyun Dongping	
夏良	Xialiang	
太和	Taihe	
竹料	Zhuliao	
钟落潭	Zhongluotan	
马沥	Mali	
新和	Xinhe	
太平	Taiping	
神岗	Shengang	
赤草	Chicao	
从化客运站	Conghua Coach Terminal	
东风	Dongfeng	
